Walden-1,0,2,202,402
Walden-1,0,3,414,655
Walden-1,0,4,669,945
Walden-1,0,5,950,1266
Walden-1,0,6,1322,1636
Walden-1,0,7,1644,1822
Walden-1,0,8,1844,2123
Walden-1,0,9,2142,2363
Walden-1,0,10,2378,2460
Walden-1,0,11,2485,2760
Walden-1,0,12,2770,3073
Walden-1,0,13,3150,3296
Walden-1,0,14,3308,3402
Walden-1,0,15,3405,3539
Walden-1,0,16,3551,3693
Walden-1,0,17,3698,3836
Walden-1,0,18,3846,3967
Walden-1,0,19,3971,4099
Walden-1,0,20,4102,4235
Walden-1,0,21,4254,4320
Walden-1,0,22,4325,4421
Dear_Editor-1,1,2,,
Dear_Editor-1,1,3,114,358
Dear_Editor-1,1,4,378,635
Dear_Editor-1,1,5,647,708
Dear_Editor-1,1,6,712,939
Dear_Editor-1,1,7,952,1208
Dear_Editor-1,1,8,1215,1469
Dear_Editor-1,1,9,1480,1615
Dear_Editor-1,1,10,1620,1912
Dear_Editor-1,1,11,1924,2202
Dear_Editor-1,1,12,2207,2467
Dear_Editor-1,1,13,2470,2642
Dear_Editor-1,1,14,2670,2858
Dear_Editor-1,1,15,,
Dear_Editor-1,1,16,2866,3156
Dear_Editor-1,1,17,3178,3442
Dear_Editor-1,1,18,2445,3657
Dear_Editor-1,1,19,,
Dear_Editor-1,1,20,3668,3800
Dear_Editor-1,1,21,3802,3818
The_western_alphabet-1,2,2,137,295
The_western_alphabet-1,2,3,208,552
The_western_alphabet-1,2,4,558,827
The_western_alphabet-1,2,5,832,1161
The_western_alphabet-1,2,6,1174,1549
The_western_alphabet-1,2,7,1554,1830
The_western_alphabet-1,2,8,1851,1952
The_western_alphabet-1,2,9,1972,2361
The_western_alphabet-1,2,10,2374,2677
The_western_alphabet-1,2,11,2714,3000
The_western_alphabet-1,2,12,3030,3250
The_western_alphabet-1,2,13,3253,3413
The_western_alphabet-1,2,14,3424,3563
The_western_alphabet-1,2,15,2567,3718
The_western_alphabet-1,2,16,3729,3753
The_western_alphabet-1,2,17,,
"Doug_Allan,_Wildlife_Cameraman-1",3,2,113,410
"Doug_Allan,_Wildlife_Cameraman-1",3,3,417,622
"Doug_Allan,_Wildlife_Cameraman-1",3,4,634,692
"Doug_Allan,_Wildlife_Cameraman-1",3,5,695,921
"Doug_Allan,_Wildlife_Cameraman-1",3,6,927,1224
"Doug_Allan,_Wildlife_Cameraman-1",3,7,1244,1328
"Doug_Allan,_Wildlife_Cameraman-1",3,8,1332,1692
"Doug_Allan,_Wildlife_Cameraman-1",3,9,1700,2000
"Doug_Allan,_Wildlife_Cameraman-1",3,10,2045,2185
"Doug_Allan,_Wildlife_Cameraman-1",3,11,2194,2289
"Doug_Allan,_Wildlife_Cameraman-1",3,12,2291,2558
"Doug_Allan,_Wildlife_Cameraman-1",3,13,2564,2755
"Doug_Allan,_Wildlife_Cameraman-1",3,14,2769,2884
"Doug_Allan,_Wildlife_Cameraman-1",3,15,2910,3142
"Doug_Allan,_Wildlife_Cameraman-1",3,16,3173,3449
"Doug_Allan,_Wildlife_Cameraman-1",3,17,3452,3523
"Doug_Allan,_Wildlife_Cameraman-1",3,18,3526,3612
"Doug_Allan,_Wildlife_Cameraman-1",3,19,3618,3676
Ainsley_Harriott-1,4,2,83,303
Ainsley_Harriott-1,4,3,318,590
Ainsley_Harriott-1,4,4,595,662
Ainsley_Harriott-1,4,5,668,972
Ainsley_Harriott-1,4,6,982,1277
Ainsley_Harriott-1,4,7,1288,1587
Ainsley_Harriott-1,4,8,1600,1997
Ainsley_Harriott-1,4,9,2007,2275
Ainsley_Harriott-1,4,10,2285,2518
Ainsley_Harriott-1,4,11,2523,2618
Ainsley_Harriott-1,4,12,2637,2869
Ainsley_Harriott-1,4,13,2883,3173
Ainsley_Harriott-1,4,14,3178,
Ainsley_Harriott-1,4,15,,
Ainsley_Harriott-1,4,16,,
JAZZ-1,5,2,143,521
JAZZ-1,5,3,534,623
JAZZ-1,5,4,627,841
JAZZ-1,5,5,857,943
JAZZ-1,5,6,955,1112
JAZZ-1,5,7,1123,1386
JAZZ-1,5,8,1400,1497
JAZZ-1,5,9,1506,1784
JAZZ-1,5,10,1807,2091
JAZZ-1,5,11,2100,2270
JAZZ-1,5,12,2275,2310
JAZZ-1,5,13,2323,2474
JAZZ-1,5,14,2489,2724
JAZZ-1,5,15,2734,2857
JAZZ-1,5,16,2864,2905
JAZZ-1,5,17,,
JAZZ-1,5,18,2912,2959
JAZZ-1,5,19,2970,2990
The_savannah-1,6,2,72,392
The_savannah-1,6,3,397,733
The_savannah-1,6,4,738,1107
The_savannah-1,6,5,1129,1395
The_savannah-1,6,6,1405,1709
The_savannah-1,6,7,1720,1864
The_savannah-1,6,8,,
The_savannah-1,6,9,,
The_savannah-1,6,10,1876,2100
The_savannah-1,6,11,2107,2246
The_savannah-1,6,12,2249,2407
The_savannah-1,6,13,2412,2548
The_savannah-1,6,14,2553,2626
The_savannah-1,6,15,2631,2926
The_savannah-1,6,16,,
The_savannah-1,6,17,2931,2987
The_savannah-1,6,18,,
Body_Shop-1,7,2,90,271
Body_Shop-1,7,3,276,461
Body_Shop-1,7,4,463,650
Body_Shop-1,7,5,662,840
Body_Shop-1,7,6,856,940
Body_Shop-1,7,7,942,1223
Body_Shop-1,7,8,1235,1511
Body_Shop-1,7,9,1521,1722
Body_Shop-1,7,10,1732,1901
Body_Shop-1,7,11,1910,2069
Body_Shop-1,7,12,,
Body_Shop-1,7,13,,
Different_Colours-1,8,2,106,347
Different_Colours-1,8,3,350,533
Different_Colours-1,8,4,537,746
Different_Colours-1,8,5,751,955
Different_Colours-1,8,6,959,1097
Different_Colours-1,8,7,1107,1289
Different_Colours-1,8,8,1292,1490
Different_Colours-1,8,9,1495,1619
Different_Colours-1,8,10,,
Different_Colours-1,8,11,1697,1809
Different_Colours-1,8,12,1818,1958
Different_Colours-1,8,13,1964,2078
Different_Colours-1,8,14,2083,2208
Different_Colours-1,8,15,2214,2346
Different_Colours-1,8,16,2351,2485
Different_Colours-1,8,17,2489,2672
Different_Colours-1,8,18,2679,2827
Different_Colours-1,8,19,2830,2865
Alternative_medicine-1,9,2,95,328
Alternative_medicine-1,9,3,337,596
Alternative_medicine-1,9,4,608,893
Alternative_medicine-1,9,5,903,1291
Alternative_medicine-1,9,6,1306,1714
Alternative_medicine-1,9,7,1725,2001
Alternative_medicine-1,9,8,2012,2257
Alternative_medicine-1,9,9,2263,
Alternative_medicine-1,9,10,,
Alternative_medicine-1,9,11,2263,2468
Alternative_medicine-1,9,12,2485,2694
Alternative_medicine-1,9,13,2705,2878
Alternative_medicine-1,9,14,2880,2956
Alternative_medicine-1,9,15,2964,3064
Alternative_medicine-1,9,16,3075,3102
